row_id,page_id,page_title,contributor,timestamp,creation_dt,topic,opinion,clean_opinion,turn,segmentation,type,subtype,type_r1,subtype_r1,type_r2,subtype_r2,stance,sentiment,url
10,466101,Raúl Castro,Gerkijel,1154543966,8/2/06 18:39,en desarrollo,¿a quién se le ocurre decir que una persona está en desarrollo?,¿a quién se le ocurre decir que una persona está en desarrollo?,5,OK,ARGUMENTATIVE,CO,,CO,,CO,,,https://es.wikipedia.org/wiki/Discusión:Raúl_Castro
11,466101,Raúl Castro,Gerkijel,1154543966,8/2/06 18:39,en desarrollo,"taichi, creo que le has errado en revertir mi cambio.","taichi, creo que le has errado en revertir mi cambio.",5,OK,ARGUMENTATIVE,CO,,CO,,CO,,,https://es.wikipedia.org/wiki/Discusión:Raúl_Castro
12,466101,Raúl Castro,Gerkijel,1154543966,8/2/06 18:39,en desarrollo,gerkijel soy marxista de tendencia groucho 20:39 2 ago 2006 (cest),gerkijel soy marxista de tendencia ,5,ERROR,,NRC,,NRC,,NRC,,,https://es.wikipedia.org/wiki/Discusión:Raúl_Castro
13,466101,Raúl Castro,UnCubano,1154574677,8/3/06 3:11,exilio vs emigración,"este tema ya lo habíamos discutido en el artículo cuba y según tus propias palabras, galio el término es fuertemente pov por lo cual es mejor usar emigrar que es un término mas neutral.","este tema ya lo habíamos discutido en el artículo cuba y según tus propias palabras, galio el término es fuertemente pov por lo cual es mejor usar emigrar que es un término mas neutral.",6,OK,ARGUMENTATIVE,CO,,CO,,CO,,,https://es.wikipedia.org/wiki/Discusión:Raúl_Castro
14,466101,Raúl Castro,UnCubano,1154574677,8/3/06 3:11,exilio vs emigración,me sorprende tu doble rasero.,me sorprende tu doble rasero.,6,OK,,NRC,,NRC,,NRC,,,https://es.wikipedia.org/wiki/Discusión:Raúl_Castro
15,466101,Raúl Castro,UnCubano,1154574677,8/3/06 3:11,exilio vs emigración,--uncubano 05:11 3 ago 2006 (cest).,--uncubano 05:11 3 ago 2006 (cest).,6,OK,,SIGN,,SIGN,,SIGN,,,https://es.wikipedia.org/wiki/Discusión:Raúl_Castro
16,466101,Raúl Castro,Galio,1154575930,8/3/06 3:32,exilio vs emigración,":creeme que lo pensé bien y no me olvido de mis palabras, que sostengo.",":creeme que lo pensé bien y no me olvido de mis palabras, que sostengo.",7,OK,,NRC,,NRC,,NRC,,,https://es.wikipedia.org/wiki/Discusión:Raúl_Castro
17,466101,Raúl Castro,Galio,1154576030,8/3/06 3:33,exilio vs emigración,"pero es pov hablar de exiliados cuando hablamos de gente difusa viviendo en otro lado, cosa que recalqué en su momento, no de perseguidos políticos concretos, ¿se entiende la diferencia?","pero es pov hablar de exiliados cuando hablamos de gente difusa viviendo en otro lado, cosa que recalqué en su momento, no de perseguidos políticos concretos, ¿se entiende la diferencia?",7,OK,ARGUMENTATIVE,CO,,CO,,CO,,,https://es.wikipedia.org/wiki/Discusión:Raúl_Castro
18,466101,Raúl Castro,Galio,1154575930,8/3/06 3:32,exilio vs emigración,"aquí si está claro que el gobierno de batista los buscaba, hablamos de nombres y casos concretos.","aquí si está claro que el gobierno de batista los buscaba, hablamos de nombres y casos concretos.",7,OK,ARGUMENTATIVE,CO,,CO,,CO,,,https://es.wikipedia.org/wiki/Discusión:Raúl_Castro
19,466101,Raúl Castro,Galio,1154575930,8/3/06 3:32,exilio vs emigración,"es por lo mismo que las comunidades argentinas en el extranjero son emigradas pero los casos concretos de científicos, periodistas y políticos durante el proceso son exiliados.","es por lo mismo que las comunidades argentinas en el extranjero son emigradas pero los casos concretos de científicos, periodistas y políticos durante el proceso son exiliados.",7,OK,ARGUMENTATIVE,CO,,CO,,CO,,,https://es.wikipedia.org/wiki/Discusión:Raúl_Castro
20,466101,Raúl Castro,Galio,1154575930,8/3/06 3:32,exilio vs emigración,"no hace falta caer en disensos políticos, estimo que sabrás entender mi punto.","no hace falta caer en disensos políticos, estimo que sabrás entender mi punto.",7,OK,PERFORMATIVE,PSR,,PSR,,PSR,,,https://es.wikipedia.org/wiki/Discusión:Raúl_Castro
21,466101,Raúl Castro,Galio,1154575930,8/3/06 3:32,exilio vs emigración,"otro tema, tu edición es posterior.","otro tema, tu edición es posterior.",7,OK,ARGUMENTATIVE,CO,,CO,,CO,,,https://es.wikipedia.org/wiki/Discusión:Raúl_Castro
22,466101,Raúl Castro,Galio,1154575930,8/3/06 3:32,exilio vs emigración,"no voy a revertirte, pero lo preferible hubiera sido que antes de revertirme trajeras acá la discusión.","no voy a revertirte, pero lo preferible hubiera sido que antes de revertirme trajeras acá la discusión.",7,OK,PERFORMATIVE,PSR,,PSR,,PSR,,,https://es.wikipedia.org/wiki/Discusión:Raúl_Castro
23,466101,Raúl Castro,Galio,1154575930,8/3/06 3:32,exilio vs emigración,"saludos, galio... любая проблема? 05:32 3 ago 2006 (cest)",saludos,7,ERROR,INTERPERSONAL,ATT,,ATT+,,ATT+,,,https://es.wikipedia.org/wiki/Discusión:Raúl_Castro
24,466101,Raúl Castro,UnCubano,1154576868,8/3/06 3:47,exilio vs emigración,::igualmente podías haber hecho lo mismo antes de revertirme la primera vez.,::igualmente podías haber hecho lo mismo antes de revertirme la primera vez.,8,OK,PERFORMATIVE,PSR,,PSR,,PSR,,,https://es.wikipedia.org/wiki/Discusión:Raúl_Castro
25,466101,Raúl Castro,UnCubano,1154576868,8/3/06 3:47,exilio vs emigración,¿no crees?.,¿no crees?.,8,OK,,NRC,,NRC,,NRC,,,https://es.wikipedia.org/wiki/Discusión:Raúl_Castro
26,466101,Raúl Castro,UnCubano,1154576868,8/3/06 3:47,exilio vs emigración,"por otra parte, los asaltantes al cuartel moncada fueron juzgados y condenados por un tribunal.","por otra parte, los asaltantes al cuartel moncada fueron juzgados y condenados por un tribunal.",8,OK,PERFORMATIVE,IP,,IP,,IP,,,https://es.wikipedia.org/wiki/Discusión:Raúl_Castro
27,466101,Raúl Castro,UnCubano,1154576868,8/3/06 3:47,exilio vs emigración,cumplieron 22 meses de prisión y luego fueron favorecidos por una amnistía.,cumplieron 22 meses de prisión y luego fueron favorecidos por una amnistía.,8,OK,PERFORMATIVE,IP,,IP,,IP,,,https://es.wikipedia.org/wiki/Discusión:Raúl_Castro
28,466101,Raúl Castro,UnCubano,1154576868,8/3/06 3:47,exilio vs emigración,"las personas difusas a las que te refieres, así como los participantes en girón, todos tenemos también nombres y apellidos, y cada caso particular sus motivos (políticos o no) para la emigración, que no toca a wikipedia evaluar.","las personas difusas a las que te refieres, así como los participantes en girón, todos tenemos también nombres y apellidos, y cada caso particular sus motivos (políticos o no) para la emigración, que no toca a wikipedia evaluar.",8,OK,,NRC,,NRC,,NRC,,,https://es.wikipedia.org/wiki/Discusión:Raúl_Castro
29,466101,Raúl Castro,UnCubano,1154576868,8/3/06 3:47,exilio vs emigración,saludos.,saludos.,8,ERROR,INTERPERSONAL,ATT,,ATT+,,ATT+,,,https://es.wikipedia.org/wiki/Discusión:Raúl_Castro
30,466101,Raúl Castro,UnCubano,1154576868,8/3/06 3:47,exilio vs emigración,--uncubano 05:47 3 ago 2006 (cest),--uncubano 05:47 3 ago 2006 (cest),8,OK,,SIGN,,SIGN,,SIGN,,,https://es.wikipedia.org/wiki/Discusión:Raúl_Castro
31,466101,Raúl Castro,Galio,1154577402,8/3/06 3:56,exilio vs emigración,:::y en esto coincido con vos.,:::y en esto coincido con vos.,9,OK,,NRC,,NRC,,NRC,,,https://es.wikipedia.org/wiki/Discusión:Raúl_Castro
32,466101,Raúl Castro,Galio,1154577402,8/3/06 3:56,exilio vs emigración,"pero cuando hablamos de masas, que era el problema aquella vez, no podemos determinar que todos se van por motivos políticos y son perseguidos.","pero cuando hablamos de masas, que era el problema aquella vez, no podemos determinar que todos se van por motivos políticos y son perseguidos.",9,OK,ARGUMENTATIVE,CO,,CO,,CO,,,https://es.wikipedia.org/wiki/Discusión:Raúl_Castro
33,466101,Raúl Castro,Galio,1154577402,8/3/06 3:56,exilio vs emigración,"no podemos negar acá que los castro tuvieron que irse de cuba, el motivo de la emigración es claro y no tiene más factores ni lecturas posibles.","no podemos negar acá que los castro tuvieron que irse de cuba, el motivo de la emigración es claro y no tiene más factores ni lecturas posibles.",9,OK,ARGUMENTATIVE,CO,,CO,,CO,,,https://es.wikipedia.org/wiki/Discusión:Raúl_Castro
34,466101,Raúl Castro,Galio,1154577402,8/3/06 3:56,exilio vs emigración,"es cierto que fueron sentenciados y luego beneficiados con una amnistía, eso es algo que el artículo incluye y que te invito a desarrollar más si tenés datos, tiempo y ganas.","es cierto que fueron sentenciados y luego beneficiados con una amnistía, eso es algo que el artículo incluye y que te invito a desarrollar más si tenés datos, tiempo y ganas.",9,OK,ARGUMENTATIVE,CO,,CO,,CO,,,https://es.wikipedia.org/wiki/Discusión:Raúl_Castro
35,466101,Raúl Castro,Galio,1154577402,8/3/06 3:56,exilio vs emigración,"volviendo al tema, después de hablar esto, ¿estás de acuerdo con volver a la versión anterior?","volviendo al tema, después de hablar esto, ¿estás de acuerdo con volver a la versión anterior?",9,OK,ARGUMENTATIVE,CO,,CO,,CO,,,https://es.wikipedia.org/wiki/Discusión:Raúl_Castro
36,466101,Raúl Castro,Galio,1154577402,8/3/06 3:56,exilio vs emigración,"por lo demás, la versión a la que revertí no era una edición mía sino la que existía en el momento.","por lo demás, la versión a la que revertí no era una edición mía sino la que existía en el momento.",9,OK,ARGUMENTATIVE,CO,,CO,,CO,,,https://es.wikipedia.org/wiki/Discusión:Raúl_Castro
37,466101,Raúl Castro,Galio,1154577402,8/3/06 3:56,exilio vs emigración,"saludos, galio... любая проблема? 05:56 3 ago 2006 (cest)","saludos, ",9,ERROR,INTERPERSONAL,ATT,,ATT+,,ATT+,,,https://es.wikipedia.org/wiki/Discusión:Raúl_Castro
38,466101,Raúl Castro,UnCubano,1154606984,8/3/06 12:09,exilio vs emigración,"realmente no coincido contigo en tu argumento, pues creo que en aquel caso los motivos eran también evidentes, pero no vamos a retomar esa discusión.","realmente no coincido contigo en tu argumento, pues creo que en aquel caso los motivos eran también evidentes, pero no vamos a retomar esa discusión.",10,OK,ARGUMENTATIVE,CO,,CO,,CO,,,https://es.wikipedia.org/wiki/Discusión:Raúl_Castro
39,466101,Raúl Castro,UnCubano,1154606984,8/3/06 12:09,exilio vs emigración,personalmente si creo que tanto unos como otros se definen como exiliados;,personalmente si creo que tanto unos como otros se definen como exiliados;,10,OK,ARGUMENTATIVE,CO,,CO,,CO,,,https://es.wikipedia.org/wiki/Discusión:Raúl_Castro
40,466101,Raúl Castro,UnCubano,1154606984,8/3/06 12:09,exilio vs emigración,pero también estoy convencido de que 1- wikipedia no es para dar mi opinión.,pero también estoy convencido de que 1- wikipedia no es para dar mi opinión.,10,OK,ARGUMENTATIVE,CO,,CO,,CO,,,https://es.wikipedia.org/wiki/Discusión:Raúl_Castro
41,466101,Raúl Castro,UnCubano,1154606984,8/3/06 12:09,exilio vs emigración,2- las reglas deben aplicarse por igual en todos los casos.,2- las reglas deben aplicarse por igual en todos los casos.,10,OK,,NRC,,NRC,,NRC,,,https://es.wikipedia.org/wiki/Discusión:Raúl_Castro
42,466101,Raúl Castro,UnCubano,1154606984,8/3/06 12:09,exilio vs emigración,¿me hago entender?,¿me hago entender?,10,OK,,NRC,,NRC,,NRC,,,https://es.wikipedia.org/wiki/Discusión:Raúl_Castro
43,466101,Raúl Castro,UnCubano,1154606984,8/3/06 12:09,exilio vs emigración,saludos.--uncubano 14:09 3 ago 2006 (cest),saludos.,10,ERROR,INTERPERSONAL,ATT,,ATT+,,ATT+,,,https://es.wikipedia.org/wiki/Discusión:Raúl_Castro
44,466101,Raúl Castro,Galio,1154622088,8/3/06 16:21,exilio vs emigración,":por supuesto las reglas deben aplicarse igualmente en todos los casos, y por eso mismo no llamamos exiliados a las comunidades de emigrados.",":por supuesto las reglas deben aplicarse igualmente en todos los casos, y por eso mismo no llamamos exiliados a las comunidades de emigrados.",11,OK,ARGUMENTATIVE,CO,,CO,,CO,,,https://es.wikipedia.org/wiki/Discusión:Raúl_Castro
45,466101,Raúl Castro,Galio,1154622088,8/3/06 16:21,exilio vs emigración,"reitero lo que dije antes, la violación al pvn en aquel momento era determinar por la fuerza que todo cubano en el extranjero es exiliado, ahí estaba la carga política.","reitero lo que dije antes, la violación al pvn en aquel momento era determinar por la fuerza que todo cubano en el extranjero es exiliado, ahí estaba la carga política.",11,OK,ARGUMENTATIVE,CO,,CO,,CO,,,https://es.wikipedia.org/wiki/Discusión:Raúl_Castro
46,466101,Raúl Castro,Galio,1154622088,8/3/06 16:21,exilio vs emigración,"pero la definición de exiliado es clara, para casos puntuales tranquilamente puede usarse &mdash;y de hecho se usa en cientos de artículos&mdash;.","pero la definición de exiliado es clara, para casos puntuales tranquilamente puede usarse &mdash;y de hecho se usa en cientos de artículos&mdash;.",11,OK,ARGUMENTATIVE,CO,,CO,,CO,,,https://es.wikipedia.org/wiki/Discusión:Raúl_Castro
47,466101,Raúl Castro,Galio,1154622088,8/3/06 16:21,exilio vs emigración,"si no es tu intención seguir la discusión espero unas horas y vuelvo a la versión anterior, que además tenía correcciones ortográficas.","si no es tu intención seguir la discusión espero unas horas y vuelvo a la versión anterior, que además tenía correcciones ortográficas.",11,OK,PERFORMATIVE,PPC,,PPC,,PPC,,,https://es.wikipedia.org/wiki/Discusión:Raúl_Castro
48,466101,Raúl Castro,Galio,1154622088,8/3/06 16:21,exilio vs emigración,"saludos, galio... любая проблема? 18:21 3 ago 2006 (cest)",saludos,11,ERROR,INTERPERSONAL,ATT,,ATT+,,ATT+,,,https://es.wikipedia.org/wiki/Discusión:Raúl_Castro
49,466101,Raúl Castro,UnCubano,1154649281,8/3/06 23:54,exilio vs emigración,"::puedes intentar un esfuerzo extra de tu memoria o revisar nuestra discusión sobre el tema para que te des cuenta de que en ningún momento he dicho que todos los emigrados cubanos son exiliados, la discusión aquella se refería sólo a los participantes en la invasión de playa girón, los cuales, sostengo, son exiliados.","::puedes intentar un esfuerzo extra de tu memoria o revisar nuestra discusión sobre el tema para que te des cuenta de que en ningún momento he dicho que todos los emigrados cubanos son exiliados, la discusión aquella se refería sólo a los participantes en la invasión de playa girón, los cuales, sostengo, son exiliados.",12,OK,PERFORMATIVE,PSR,,PSR,,PSR,,,https://es.wikipedia.org/wiki/Discusión:Raúl_Castro
50,466101,Raúl Castro,UnCubano,1154649281,8/3/06 23:54,exilio vs emigración,"no me opongo a que reviertas, pero recuerda: las reglas por igual.","no me opongo a que reviertas, pero recuerda: las reglas por igual.",12,OK,PERFORMATIVE,PSR,,PSR,,PSR,,,https://es.wikipedia.org/wiki/Discusión:Raúl_Castro
51,466101,Raúl Castro,UnCubano,1154576868,8/3/06 3:47,exilio vs emigración,saludos.,saludos.,13,ERROR,INTERPERSONAL,ATT,,ATT+,,ATT+,,,https://es.wikipedia.org/wiki/Discusión:Raúl_Castro
52,466101,Raúl Castro,UnCubano,1154649281,8/3/06 23:54,exilio vs emigración,--uncubano 01:54 4 ago 2006 (cest),--uncubano 01:54 4 ago 2006 (cest),14,OK,,SIGN,,SIGN,,SIGN,,,https://es.wikipedia.org/wiki/Discusión:Raúl_Castro
53,466101,Raúl Castro,Galio,1154660552,8/4/06 3:02,exilio vs emigración,":::es cierto que hablábamos de girón, y de ahí la discusión pasó al conjunto de cubanos residentes en estados unidos.",":::es cierto que hablábamos de girón, y de ahí la discusión pasó al conjunto de cubanos residentes en estados unidos.",15,OK,ARGUMENTATIVE,CO,,CO,,CO,,,https://es.wikipedia.org/wiki/Discusión:Raúl_Castro
54,466101,Raúl Castro,Galio,1154660552,8/4/06 3:02,exilio vs emigración,"decíamos que tal o cual puede considerarse exiliado, pero que la enciclopedia no puede considerar exiliado a un colectivo de miles de personas porque no todos están allá por motivos políticos.","decíamos que tal o cual puede considerarse exiliado, pero que la enciclopedia no puede considerar exiliado a un colectivo de miles de personas porque no todos están allá por motivos políticos.",15,OK,ARGUMENTATIVE,CO,,CO,,CO,,,https://es.wikipedia.org/wiki/Discusión:Raúl_Castro
55,466101,Raúl Castro,Galio,1154660552,8/4/06 3:02,exilio vs emigración,"si volvemos a la invasión de girón, el punto de conexión es que no sólo no tenemos certeza de que todos los mercenarios fueran exiliados, sino que ni siquiera eran todos cubanos.","si volvemos a la invasión de girón, el punto de conexión es que no sólo no tenemos certeza de que todos los mercenarios fueran exiliados, sino que ni siquiera eran todos cubanos.",15,OK,ARGUMENTATIVE,CO,,CO,,CO,,,https://es.wikipedia.org/wiki/Discusión:Raúl_Castro
56,466101,Raúl Castro,Galio,1154660552,8/4/06 3:02,exilio vs emigración,"sumale a eso lo dudoso de la condición de exiliado para quienes no se fueron perseguidos por el gobierno revolucionario, sino por precaución financiera o simple descontento con el rumbo económico-social que tomaba.","sumale a eso lo dudoso de la condición de exiliado para quienes no se fueron perseguidos por el gobierno revolucionario, sino por precaución financiera o simple descontento con el rumbo económico-social que tomaba.",15,OK,ARGUMENTATIVE,CO,,CO,,CO,,,https://es.wikipedia.org/wiki/Discusión:Raúl_Castro
57,466101,Raúl Castro,Galio,1154660552,8/4/06 3:02,exilio vs emigración,"saludos, galio... любая проблема? 05:02 4 ago 2006 (cest)",saludos,15,ERROR,INTERPERSONAL,ATT,,ATT+,,ATT+,,,https://es.wikipedia.org/wiki/Discusión:Raúl_Castro
58,466101,Raúl Castro,UnCubano,1154693046,8/4/06 12:04,exilio vs emigración,"::::ya te dije, no vamos a retomar la discusión.","::::ya te dije, no vamos a retomar la discusión.",16,OK,,NRC,,NRC,,NRC,,,https://es.wikipedia.org/wiki/Discusión:Raúl_Castro
59,466101,Raúl Castro,UnCubano,1154693046,8/4/06 12:04,exilio vs emigración,"ese es tu punto de vista personal, que por demás es ofensivo para mucha gente.","ese es tu punto de vista personal, que por demás es ofensivo para mucha gente.",16,OK,ARGUMENTATIVE,CO,,CO,,CO,,,https://es.wikipedia.org/wiki/Discusión:Raúl_Castro
60,466101,Raúl Castro,UnCubano,1154693046,8/4/06 12:04,exilio vs emigración,mejor te lo reservas pues este no es el lugar.,mejor te lo reservas pues este no es el lugar.,16,OK,ARGUMENTATIVE,CO,,CO,,CO,,,https://es.wikipedia.org/wiki/Discusión:Raúl_Castro
61,466101,Raúl Castro,UnCubano,1154693046,8/4/06 12:04,exilio vs emigración,--uncubano 14:04 4 ago 2006 (cest),--uncubano 14:04 4 ago 2006 (cest),16,OK,,SIGN,,SIGN,,SIGN,,,https://es.wikipedia.org/wiki/Discusión:Raúl_Castro
62,466101,Raúl Castro,Galio,1154712645,8/4/06 17:30,exilio vs emigración,":::::si te ofende lo que digo disculpame, pero no me parece la mejor forma de cerrar una discusión.",":::::si te ofende lo que digo disculpame, pero no me parece la mejor forma de cerrar una discusión.",17,OK,PERFORMATIVE,PSR,,PSR,,PSR,,,https://es.wikipedia.org/wiki/Discusión:Raúl_Castro
63,466101,Raúl Castro,Galio,1154712645,8/4/06 17:30,exilio vs emigración,"si está cerrada está cerrada, sin condimentos.","si está cerrada está cerrada, sin condimentos.",17,OK,PERFORMATIVE,PSR,,PSR,,PSR,,,https://es.wikipedia.org/wiki/Discusión:Raúl_Castro
64,466101,Raúl Castro,Galio,1154712645,8/4/06 17:30,exilio vs emigración,"y más allá de mi punto de vista, la distinción que hice es aplicable a cualquier caso.","y más allá de mi punto de vista, la distinción que hice es aplicable a cualquier caso.",17,OK,ARGUMENTATIVE,CO,,CO,,CO,,,https://es.wikipedia.org/wiki/Discusión:Raúl_Castro
65,466101,Raúl Castro,Galio,1154712645,8/4/06 17:30,exilio vs emigración,"saludos, galio... любая проблема? 19:30 4 ago 2006 (cest)",saludos,17,ERROR,INTERPERSONAL,ATT,,ATT+,,ATT+,,,https://es.wikipedia.org/wiki/Discusión:Raúl_Castro
66,466101,Raúl Castro,HAMM,1203860167,2/24/08 13:36,re,"fidel será presidente, pero raul tambien lo es y probablemente lo será.","fidel será presidente, pero raul tambien lo es y probablemente lo será.",18,OK,ARGUMENTATIVE,CO,,CO,,CO,,,https://es.wikipedia.org/wiki/Discusión:Raúl_Castro
67,466101,Raúl Castro,HAMM,1203860167,2/24/08 13:36,re,asi que hay que colocarle su cajetilla presidencial. ҢДmm®    16px(the show must go on) 13:36 24 feb 2008 (utc),asi que hay que colocarle su cajetilla presidencial. ,18,ERROR,,NRC,,NRC,,NRC,,,https://es.wikipedia.org/wiki/Discusión:Raúl_Castro
68,466101,Raúl Castro,CheoMalanga,1203870241,2/24/08 16:24,re,::está claro que la solución no es ir borrando cosas.,::está claro que la solución no es ir borrando cosas.,19,OK,ARGUMENTATIVE,CO,,CO,,CO,,,https://es.wikipedia.org/wiki/Discusión:Raúl_Castro
69,466101,Raúl Castro,CheoMalanga,1203870241,2/24/08 16:24,re,pues si pones a raúl tampoco estás siendo exacto.,pues si pones a raúl tampoco estás siendo exacto.,19,OK,PERFORMATIVE,PSR,,PSR,,PSR,,,https://es.wikipedia.org/wiki/Discusión:Raúl_Castro
70,466101,Raúl Castro,CheoMalanga,1203870241,2/24/08 16:24,re,me parece que hay que buscar una solución de compromiso en que aparezca que fidel es el presidente durante este tiempo delegó en raúl.,me parece que hay que buscar una solución de compromiso en que aparezca que fidel es el presidente durante este tiempo delegó en raúl.,19,OK,PERFORMATIVE,PSR,,PSR,,PSR,,,https://es.wikipedia.org/wiki/Discusión:Raúl_Castro
71,466101,Raúl Castro,CheoMalanga,1203870241,2/24/08 16:24,re,--cheo malanga (discusión) 16:24 24 feb 2008 (utc),--cheo malanga (discusión) 16:24 24 feb 2008 (utc),19,OK,,SIGN,,SIGN,,SIGN,,,https://es.wikipedia.org/wiki/Discusión:Raúl_Castro
72,466101,Raúl Castro,81.39.212.24,1278448418,7/6/10 20:33,re,"la propia wikipedia define asi a  mercenario: "" se conoce como mercenario (del latín merces, - eris, «pago»), a aquel soldado que lucha o participa en un conflicto bélico por su beneficio económico y personal, normalmente con poca o nula consideración en la ideología, nacionalidad  o preferencias políticas con el bando para el que lucha.","la propia wikipedia define asi a  mercenario: "" se conoce como mercenario (del latín merces, - eris, «pago»), a aquel soldado que lucha o participa en un conflicto bélico por su beneficio económico y personal, normalmente con poca o nula consideración en la ideología, nacionalidad  o preferencias políticas con el bando para el que lucha.",20,OK,PERFORMATIVE,IP,,IP,,IP,,,https://es.wikipedia.org/wiki/Discusión:Raúl_Castro
73,466101,Raúl Castro,81.39.212.24,1278448418,7/6/10 20:33,re,"generalmente se les menciona como asesinos a sueldo, criminales apátridas, sicarios, etc.""  los asaltantes a playa giron eran cubanos, como todos sabemos, excepto el autor de este articulo, ya que se puede consultar las listas de soldados capturados por el ejercito castrista.","generalmente se les menciona como asesinos a sueldo, criminales apátridas, sicarios, etc.""  los asaltantes a playa giron eran cubanos, como todos sabemos, excepto el autor de este articulo, ya que se puede consultar las listas de soldados capturados por el ejercito castrista.",20,OK,PERFORMATIVE,IP,,IP,,IP,,,https://es.wikipedia.org/wiki/Discusión:Raúl_Castro
74,466101,Raúl Castro,81.39.212.24,1278448418,7/6/10 20:33,re,"las razones que llevaron a esos cubanos emigrantes a luchar contra el gobierno castrista eran ideologicas, de nacionalidad y de identidad politica con el ""bando"" al que pertenecian.","las razones que llevaron a esos cubanos emigrantes a luchar contra el gobierno castrista eran ideologicas, de nacionalidad y de identidad politica con el ""bando"" al que pertenecian.",20,OK,ARGUMENTATIVE,CO,,CO,,CO,,,https://es.wikipedia.org/wiki/Discusión:Raúl_Castro
